ligand	receptor	mapping_evidence	source_reference	pmids	source_card_status	screen_status	target	model_input
Adm	Ramp2	Inferred	https://connectomedb.org/cards/human/ADM-RAMP2.html	10342881;12565884;15692146;30139742;9620797	DOWNLOADED	HOLD_REFERENCE_CONTEXT_AND_LICENSE_REVIEW	NOT_PROVIDED_BY_LR_DATABASE	false
Apln	Aplnr	Direct	https://connectomedb.org/cards/human/APLN-APLNR.html	10617103;10777510;11336787;12603839;12939143;15341513;9792798	DOWNLOADED	HOLD_REFERENCE_CONTEXT_AND_LICENSE_REVIEW	NOT_PROVIDED_BY_LR_DATABASE	false
Cxcl12	Ackr3	Direct	https://connectomedb.org/cards/human/CXCL12-ACKR3.html	16107333;16940167;20956518	DOWNLOADED	HOLD_REFERENCE_CONTEXT_AND_LICENSE_REVIEW	NOT_PROVIDED_BY_LR_DATABASE	false
Edn1	Ednrb	Inferred	https://connectomedb.org/cards/human/EDN1-EDNRB.html	12972292;1713452;2175397;7524189	DOWNLOADED	HOLD_REFERENCE_CONTEXT_AND_LICENSE_REVIEW	NOT_PROVIDED_BY_LR_DATABASE	false
Efna5	Epha4	Direct	https://connectomedb.org/cards/human/EFNA5-EPHA4.html	22568954;23385583;23959867	DOWNLOADED	HOLD_REFERENCE_CONTEXT_AND_LICENSE_REVIEW	NOT_PROVIDED_BY_LR_DATABASE	false
Nlgn1	Nrxn3	Inferred	https://connectomedb.org/cards/human/NLGN1-NRXN3.html	8576240	DOWNLOADED	HOLD_REFERENCE_CONTEXT_AND_LICENSE_REVIEW	NOT_PROVIDED_BY_LR_DATABASE	false
Nodal	Acvr1c	Direct	https://connectomedb.org/cards/human/NODAL-ACVR1C.html	11485994;12606401	DOWNLOADED	HOLD_DEVELOPMENTAL_PATHWAY_REVIEW	NOT_PROVIDED_BY_LR_DATABASE	false
Nppa	Npr3	Inferred	https://connectomedb.org/cards/human/NPPA-NPR3.html	11533490;2169733	DOWNLOADED	HOLD_REFERENCE_CONTEXT_AND_LICENSE_REVIEW	NOT_PROVIDED_BY_LR_DATABASE	false
Nppb	Npr3	Inferred	https://connectomedb.org/cards/human/NPPB-NPR3.html	11533490;1309330;7901875	DOWNLOADED	HOLD_REFERENCE_CONTEXT_AND_LICENSE_REVIEW	NOT_PROVIDED_BY_LR_DATABASE	false
Nrg1	Erbb4	Inferred	https://connectomedb.org/cards/human/NRG1-ERBB4.html	10348342;10537356;10995872;22891299;8062828;9565587	DOWNLOADED	HOLD_REFERENCE_CONTEXT_AND_LICENSE_REVIEW	NOT_PROVIDED_BY_LR_DATABASE	false
Ntf5	Ngfr	Inferred	https://connectomedb.org/cards/human/NTF4-NGFR.html	7541633	DOWNLOADED	HOLD_REFERENCE_CONTEXT_AND_LICENSE_REVIEW	NOT_PROVIDED_BY_LR_DATABASE	false
Pdgfb	Pdgfrb	Inferred	https://connectomedb.org/cards/human/PDGFB-PDGFRB.html	11903042	DOWNLOADED	HOLD_REFERENCE_CONTEXT_AND_LICENSE_REVIEW	NOT_PROVIDED_BY_LR_DATABASE	false
Ptn	Ptprz1	Inferred	https://connectomedb.org/cards/human/PTN-PTPRZ1.html	10212223;10706604;16814777	DOWNLOADED	HOLD_REFERENCE_CONTEXT_AND_LICENSE_REVIEW	NOT_PROVIDED_BY_LR_DATABASE	false
Rspo1	Lgr6	Inferred	https://connectomedb.org/cards/human/RSPO1-LGR6.html	21727895	DOWNLOADED	HOLD_DEVELOPMENTAL_PATHWAY_REVIEW	NOT_PROVIDED_BY_LR_DATABASE	false
Rspo3	Lgr6	Direct	https://connectomedb.org/cards/human/RSPO3-LGR6.html	21727895	DOWNLOADED	HOLD_DEVELOPMENTAL_PATHWAY_REVIEW	NOT_PROVIDED_BY_LR_DATABASE	false
Sema3a	Nrp2	Direct	https://connectomedb.org/cards/human/SEMA3A-NRP2.html	21059704	DOWNLOADED	HOLD_REFERENCE_CONTEXT_AND_LICENSE_REVIEW	NOT_PROVIDED_BY_LR_DATABASE	false
Slit2	Robo2	Inferred	https://connectomedb.org/cards/human/SLIT2-ROBO2.html	29317497	DOWNLOADED	HOLD_REFERENCE_CONTEXT_AND_LICENSE_REVIEW	NOT_PROVIDED_BY_LR_DATABASE	false
Slit3	Robo2	Direct	https://connectomedb.org/cards/human/SLIT3-ROBO2.html	29504949	DOWNLOADED	HOLD_REFERENCE_CONTEXT_AND_LICENSE_REVIEW	NOT_PROVIDED_BY_LR_DATABASE	false
Tnc	Itga8	Inferred	https://connectomedb.org/cards/human/TNC-ITGA8.html	7559467	DOWNLOADED	HOLD_REFERENCE_CONTEXT_AND_LICENSE_REVIEW	NOT_PROVIDED_BY_LR_DATABASE	false
Tnc	Ptprz1	Inferred	https://connectomedb.org/cards/human/TNC-PTPRZ1.html	20689858;37356715	DOWNLOADED	HOLD_REFERENCE_CONTEXT_AND_LICENSE_REVIEW	NOT_PROVIDED_BY_LR_DATABASE	false
Vegfc	Nrp2	Inferred	https://connectomedb.org/cards/human/VEGFC-NRP2.html	16816121;25752543	DOWNLOADED	HOLD_REFERENCE_CONTEXT_AND_LICENSE_REVIEW	NOT_PROVIDED_BY_LR_DATABASE	false
Cadm1	Cadm1	Direct	https://connectomedb.org/cards/human/CADM1-CADM1.html	17250899;25268382;30131958	DOWNLOADED	HOLD_REFERENCE_CONTEXT_AND_LICENSE_REVIEW	NOT_PROVIDED_BY_LR_DATABASE	false
Cxcl12	Itga4	Inferred	https://connectomedb.org/cards/human/CXCL12-ITGA4.html	29301984	DOWNLOADED	HOLD_REFERENCE_CONTEXT_AND_LICENSE_REVIEW	NOT_PROVIDED_BY_LR_DATABASE	false
Mmrn2	Cd93	Inferred	https://connectomedb.org/cards/human/MMRN2-CD93.html	28671670;28912033	DOWNLOADED	HOLD_REFERENCE_CONTEXT_AND_LICENSE_REVIEW	NOT_PROVIDED_BY_LR_DATABASE	false
Mmrn2	Clec14a	Direct	https://connectomedb.org/cards/human/MMRN2-CLEC14A.html	28671670	DOWNLOADED	HOLD_REFERENCE_CONTEXT_AND_LICENSE_REVIEW	NOT_PROVIDED_BY_LR_DATABASE	false
Robo2	Robo2	Inferred	https://connectomedb.org/cards/human/ROBO2-ROBO2.html	12504588	DOWNLOADED	HOLD_REFERENCE_CONTEXT_AND_LICENSE_REVIEW	NOT_PROVIDED_BY_LR_DATABASE	false
Cdh4	Cdh4	Inferred	https://connectomedb.org/cards/human/CDH4-CDH4.html	1712604	DOWNLOADED	HOLD_REFERENCE_CONTEXT_AND_LICENSE_REVIEW	NOT_PROVIDED_BY_LR_DATABASE	false
Epha4	Efna5	Inferred	https://connectomedb.org/cards/human/EPHA4-EFNA5.html	22568954;23959867	DOWNLOADED	HOLD_REFERENCE_CONTEXT_AND_LICENSE_REVIEW	NOT_PROVIDED_BY_LR_DATABASE	false
Esam	Esam	Direct	https://connectomedb.org/cards/human/ESAM-ESAM.html	11279107	DOWNLOADED	HOLD_REFERENCE_CONTEXT_AND_LICENSE_REVIEW	NOT_PROVIDED_BY_LR_DATABASE	false
Fgb	Cdh5	Inferred	https://connectomedb.org/cards/human/FGB-CDH5.html	19413351	DOWNLOADED	HOLD_REFERENCE_CONTEXT_AND_LICENSE_REVIEW	NOT_PROVIDED_BY_LR_DATABASE	false
