panel_symbol	ensembl_id
A2m	ENSMUSG00000030111
AI646519	ENSMUSG00000087521
Abca6	ENSMUSG00000044749
Abca8a	ENSMUSG00000041828
Abcc9	ENSMUSG00000030249
Abi3bp	ENSMUSG00000035258
Ablim3	ENSMUSG00000032735
Acer2	ENSMUSG00000038007
Ackr3	ENSMUSG00000044337
Acta2	ENSMUSG00000035783
Actg1	ENSMUSG00000062825
Acvr1c	ENSMUSG00000026834
Adamts12	ENSMUSG00000047497
Adamts6	ENSMUSG00000046169
Adamts8	ENSMUSG00000031994
Adcy2	ENSMUSG00000021536
Adgrf5	ENSMUSG00000056492
Adgrg6	ENSMUSG00000039116
Adgrl4	ENSMUSG00000039167
Adm	ENSMUSG00000030790
Afp	ENSMUSG00000054932
Agtr2	ENSMUSG00000068122
Ahnak	ENSMUSG00000069833
Ahsg	ENSMUSG00000022868
Akr1c19	ENSMUSG00000071551
Aldh1a2	ENSMUSG00000013584
Aldob	ENSMUSG00000028307
Alox5ap	ENSMUSG00000060063
Alx1	ENSMUSG00000036602
Angpt1	ENSMUSG00000022309
Angptl6	ENSMUSG00000038742
Ankrd1	ENSMUSG00000024803
Ano1	ENSMUSG00000031075
Anxa1	ENSMUSG00000024659
Apln	ENSMUSG00000037010
Aplnr	ENSMUSG00000044338
Apoa1	ENSMUSG00000032083
Apob	ENSMUSG00000020609
Apoc2	ENSMUSG00000002992
Apod	ENSMUSG00000022548
Apoe	ENSMUSG00000002985
Apold1	ENSMUSG00000090698
Aprt	ENSMUSG00000006589
Arg1	ENSMUSG00000019987
Arhgap31	ENSMUSG00000022799
Astn2	ENSMUSG00000028373
Bambi	ENSMUSG00000024232
Bco1	ENSMUSG00000031845
Bex3	ENSMUSG00000046432
Bhlha9	ENSMUSG00000044243
Birc3	ENSMUSG00000032000
Bmp10	ENSMUSG00000030046
Bmp2	ENSMUSG00000027358
Bmp4	ENSMUSG00000021835
Bmx	ENSMUSG00000031377
Bnc1	ENSMUSG00000025105
Bnc2	ENSMUSG00000028487
Bpifc	ENSMUSG00000050108
Btg2	ENSMUSG00000020423
Btnl9	ENSMUSG00000040283
C1qtnf9	ENSMUSG00000071347
Cacna1d	ENSMUSG00000015968
Cacna2d2	ENSMUSG00000010066
Cacnb2	ENSMUSG00000057914
Cadm1	ENSMUSG00000032076
Car4	ENSMUSG00000000805
Car8	ENSMUSG00000041261
Casp4	ENSMUSG00000033538
Casq1	ENSMUSG00000007122
Cav1	ENSMUSG00000007655
Ccbe1	ENSMUSG00000046318
Ccdc80	ENSMUSG00000022665
Ccdc85a	ENSMUSG00000032878
Cck	ENSMUSG00000032532
Ccn5	ENSMUSG00000027656
Ccna2	ENSMUSG00000027715
Ccser1	ENSMUSG00000039578
Cd300lg	ENSMUSG00000017309
Cd34	ENSMUSG00000016494
Cd93	ENSMUSG00000027435
Cdh12	ENSMUSG00000040452
Cdh18	ENSMUSG00000040420
Cdh4	ENSMUSG00000000305
Cdh5	ENSMUSG00000031871
Cdk1	ENSMUSG00000019942
Cemip2	ENSMUSG00000024754
Cenpf	ENSMUSG00000026605
Cer1	ENSMUSG00000038192
Cfh	ENSMUSG00000026365
Cited1	ENSMUSG00000051159
Ckmt2	ENSMUSG00000021622
Cldn11	ENSMUSG00000037625
Cldn4	ENSMUSG00000047501
Cldn5	ENSMUSG00000041378
Clec14a	ENSMUSG00000045930
Clec1a	ENSMUSG00000033082
Clec3b	ENSMUSG00000025784
Clmp	ENSMUSG00000032024
Cnmd	ENSMUSG00000022025
Col15a1	ENSMUSG00000028339
Col1a1	ENSMUSG00000001506
Col1a2	ENSMUSG00000029661
Col3a1	ENSMUSG00000026043
Col5a1	ENSMUSG00000026837
Col6a1	ENSMUSG00000001119
Colec10	ENSMUSG00000038591
Cpa1	ENSMUSG00000054446
Cpne5	ENSMUSG00000024008
Crabp1	ENSMUSG00000032291
Crabp2	ENSMUSG00000004885
Csf2rb	ENSMUSG00000071713
Csmd1	ENSMUSG00000060924
Cspg4	ENSMUSG00000032911
Csrp3	ENSMUSG00000030470
Cthrc1	ENSMUSG00000054196
